200,14,交通建设工程监理企业资质等级证书,政府办事,交通建设工程，等级证书,道路交通,交通运输,业务类,普遍公开,2017-11-20,None,上海市交通委员会
163,5,当年上海建筑业主要财务指标。,政府办事,当年.上海.建筑业主要财务指标,经济建设,统计,业务类,普遍公开,2017-11-22,None,上海市统计局
125,1,当年上海各区、县建筑业主要指标。,政府办事,当年.上海.各区、县建筑业主要指标,经济建设,统计,业务类,普遍公开,2017-11-22,None,上海市统计局
132,3,主要年份六大重点发展工业行业固定资产投资额。,政府办事,主要年份.六大重点发展工业行业.固定资产投资额,经济建设,统计,业务类,普遍公开,2017-11-22,None,上海市统计局
137,1,1978年以来.上海.建筑业主要指标。,残疾人,1978年以来.上海.建筑业主要指标,经济建设,统计,业务类,普遍公开,2017-11-22,None,上海市统计局
125,6,当年上海土地使用权出让情况。,政府办事,当年.上海.土地使用权出让情况,经济建设,统计,业务类,普遍公开,2017-11-22,None,上海市统计局
115,1,当年上海工业各行业固定资产投资主要指标。,政府办事,当年.上海.工业各行业固定资产投资主要指标,经济建设,统计,业务类,普遍公开,2017-11-22,None,上海市统计局
123,3,1978年以来能源消费弹性系数,政府办事,1978年以来能源消费弹性系数,经济建设,统计,业务类,普遍公开,2017-11-22,None,上海市统计局
159,5,2012～2015年上海市平均每天各种能源消费量,政府办事,2012～2015年，上海市，平均每天各种能源消费量,经济建设,统计,业务类,普遍公开,2017-11-22,None,上海市统计局
119,3,公益基地建设情况的相关信息，公益基地数量,政府办事,公益基地建设,民生服务,民政,业务类,普遍公开,2017-11-21,None,上海市民政局
96,1,当年上海建筑业签订合同情况。,政府办事,当年.上海.建筑业签订合同情况,经济建设,统计,业务类,普遍公开,2017-11-22,None,上海市统计局
164,5,当年上海建筑业主要财务指标。,政府办事,当年.上海.建筑业主要财务指标,经济建设,统计,业务类,普遍公开,2017-11-22,None,上海市统计局
126,1,当年上海各区、县建筑业主要指标。,政府办事,当年.上海.各区、县建筑业主要指标,经济建设,统计,业务类,普遍公开,2017-11-22,None,上海市统计局
133,3,主要年份六大重点发展工业行业固定资产投资额。,政府办事,主要年份.六大重点发展工业行业.固定资产投资额,经济建设,统计,业务类,普遍公开,2017-11-22,None,上海市统计局
138,1,1978年以来.上海.建筑业主要指标。,残疾人,1978年以来.上海.建筑业主要指标,经济建设,统计,业务类,普遍公开,2017-11-22,None,上海市统计局
126,6,当年上海土地使用权出让情况。,政府办事,当年.上海.土地使用权出让情况,经济建设,统计,业务类,普遍公开,2017-11-22,None,上海市统计局
116,1,当年上海工业各行业固定资产投资主要指标。,政府办事,当年.上海.工业各行业固定资产投资主要指标,经济建设,统计,业务类,普遍公开,2017-11-22,None,上海市统计局
124,3,1978年以来能源消费弹性系数,政府办事,1978年以来能源消费弹性系数,经济建设,统计,业务类,普遍公开,2017-11-22,None,上海市统计局
160,5,2012～2015年上海市平均每天各种能源消费量,政府办事,2012～2015年，上海市，平均每天各种能源消费量,经济建设,统计,业务类,普遍公开,2017-11-22,None,上海市统计局
120,3,公益基地建设情况的相关信息，公益基地数量,政府办事,公益基地建设,民生服务,民政,业务类,普遍公开,2017-11-21,None,上海市民政局
97,1,当年上海建筑业签订合同情况。,政府办事,当年.上海.建筑业签订合同情况,经济建设,统计,业务类,普遍公开,2017-11-22,None,上海市统计局
