2016年肇庆市农村经济运行情况,None,提供2016年肇庆市农村经济运行情况分析,农村经济 分析,经济建设,农业,业务,普通公开,季,2017年06月12日,肇庆市统计局,http://tjj.zhaoqing.gov.cn/
2017年肇庆市经济运行简况,None,提供2017年肇庆市经济运行简况分析,经济 运行 分析,经济建设,经济,业务,普通公开,月 季,2017年05月17日,肇庆市统计局,http://tjj.zhaoqing.gov.cn/
肇庆市国民经济和社会发展统计公报,None,提供肇庆市（历年）国民经济和社会发展统计公报,国民经济 社会发展 公报,经济建设,统计,业务,普通公开,每年,2016年11月21日,肇庆市统计局,肇庆市城中路49号
肇庆市2016年经济运行简况,None,提供2016年肇庆市经济运行简况,2016 经济 简况,经济建设,统计,业务,普通公开,每月,2016年11月21日,肇庆市统计局,肇庆市城中路49号
肇庆市市场物价,None,提供肇庆市历年市场物价情况,市场 物价,经济建设,统计,业务,普通公开,每年,2016年07月08日,肇庆市统计局,肇庆市城中路49号
肇庆市居民收入与消费,None,提供肇庆市历年居民收入与消费情况,居民 收入 消费,经济建设,统计,业务,普通公开,每年,2016年07月08日,肇庆市统计局,肇庆市城中路49号
肇庆市20强企业名录,None,提供肇庆市20强企业名录,企业 名录,经济建设,统计,业务,主动公开,每年,2016年07月08日,肇庆市经济和信息化局,肇庆市城中路49号
2015年肇庆市经济运行简况,None,　　提供肇庆市工业生产、社会消费、财政收入等主要经济指标,经济 运行 简况,经济建设,统计,业务,普通公开,每月,2015年11月13日,肇庆市统计局,http://61.146.213.162/
肇庆市2015年度医疗器械生产企业基本情况,None,提供肇庆市2015年度医疗器械生产企业基本情况、比如企业名称、所在区域、生产产品、现有注册证、信用度等 ,医疗器械 企业 基本情况,经济建设,工业,业务类,普通公开,每年,2015年10月20日,肇庆市食品药品监督管理局,None
肇庆市高新技术企业,None,提供2014年肇庆市高新技术企业统计汇总，比如包括申报年度、类型、企业名称、所属领域、地域。,高新企业,经济建设,工业,业务类,普通公开,每年,2015年10月20日,肇庆市科技局,None
肇庆市生产总值,None,　　提供肇庆市1990-2013年全市生产总值，比如第一产业、第二产业、第三产业等的生产总值,生产总值,经济建设,统计,业务类,普通公开,每年,2015年10月15日,肇庆市统计局,http://61.146.213.162/artYear/ac462
农业总产值（当年价）,None,提供肇庆市全市1978-2013年农业总产值，比如种植业、林业、牧业、副业、渔业等,农业 总产值,经济建设,统计,业务类,普通公开,每年,2015年10月15日,肇庆市统计局,http://61.146.213.162/artYear/ac462
农民人均纯收入,None,提供肇庆市1978-2013年全市农民人均收入数据,农民 人均 收入,经济建设,统计,业务类,普通公开,每年,2015年10月15日,肇庆市统计局,http://61.146.213.162/artYear/ac462
客货运输量,None,提供肇庆市2005、2010-2013年的客货运输量    ,客货 运输量,经济建设,统计,业务类,普通公开,每年,2015年10月15日,肇庆市统计局,http://61.146.213.162/artYear/ac462
2017年6月肇庆市生活垃圾填埋场监督性监测数据,None,提供2017年6月肇庆市生活垃圾填埋场监督性监测数据,生活垃圾 填埋 监测,资源环境,环境保护,业务,普通公开,季,2017年11月27日,肇庆市环保局,http://www.zqepb.gov.cn/
2017年一季度肇庆市生活垃圾填埋场监督性监测数据,None,发布肇庆市 2017年一季度肇庆市生活垃圾填埋场监督性监测数据,垃圾 填埋 监测,资源环境,环境保护,业务,普通公开,季,2017年10月10日,肇庆市环保局,http://www.zqepb.gov.cn/
2016--2020年肇庆市环境保护状况公报,None,发布2016年至2020年肇庆市环境保护状况公报 （目前只发布到2016年，每年增加至2020年止）,环境保护 状况 公报,资源环境,环境保护,业务,普通公开,年,2017年09月22日,肇庆市环保局,http://www.zqepb.gov.cn/
2010年肇庆市环境保护状况公报,None,发布2010年肇庆市环境保护状况公报,环境保护,资源环境,环境保护,业务,普通公开,年,2017年07月25日,肇庆市环保局,http://www.zqepb.gov.cn/
2017年肇庆市地表水环境质量月报,None,提供2017年肇庆市地表水环境质量月报,地表水 质量,资源环境,环境保护,业务,普通公开,月,2017年06月05日,肇庆市环保局,http://www.zqepb.gov.cn/
2017年肇庆市饮用水源水质月报,None,提供2017年肇庆市饮用水源水质月报,饮用水 水质,资源环境,环境保护,业务,普通公开,月,2017年05月09日,肇庆市环保局,http://www.zqepb.gov.cn/
2017年肇庆市环保重点监控企业名单,None,肇庆市2017年环保重点监控企业名单,环保 重点监控 企业,资源环境,环境保护,业务,普通公开,每年,2017年04月21日,肇庆市环保局,http://www.zqepb.gov.cn/
肇庆2016年辐射安全许可证信息,None,肇庆市2016年辐射安全许可证信息,辐射安全 许可证,资源环境,环境保护,业务,普通公开,每年,2017年04月21日,肇庆市环保局,http://www.zqepb.gov.cn/
2005--2009年肇庆市环境保护状况公报,None,发布肇庆市2004年至2009年环境保护状况公报,环境保护 状况 公报,资源环境,环境保护,业务,普通公开,年,2017年04月20日,肇庆市环保局,http://www.zqepb.gov.cn/
2000--2014年肇庆市环境保护状况公报,None,发布肇庆市2000年至2014年环境保护状况公布,环境保护 状况 公报,资源环境,环境保护,业务,普通公开,年,2017年03月15日,肇庆市环保局,http://www.zqepb.gov.cn/
1999年肇庆市环境保护状况公报,None,发布1999年肇庆市环境保护状况公报,环境 状况 公报,资源环境,环境保护,业务,普通公开,年,2017年02月10日,肇庆市环保局,http://www.zqepb.gov.cn/
2017年肇庆市城区及全市环境空气,None,2017年肇庆市城区及全市环境空气,城区 环境 空气,资源环境,环境保护,业务,普通公开,每月,2017年01月18日,肇庆市环保局,http://www.zqepb.gov.cn/
肇庆市第一批重点企业清洁生产技术服务单位备案名单,None,提供肇庆市重点企业清洁生产技术服务单位备案名单,重点企业 清洁生产 技术服务,资源环境,环境保护,业务,普通公开,每年,2016年12月01日,肇庆市环保局,http://www.zqepb.gov.cn/
肇庆市2016年应依法实施清洁生产审核的重点企业名单,None,提供肇庆市2016年应依法实施清洁生产审核的重点企业名单,依法实施 清洁生产 重点企业,资源环境,环境保护,业务,普通公开,每年,2016年12月01日,肇庆市环保局,http://www.zqepb.gov.cn/
肇庆市2015年应依法实施清洁生产审核的重点企业名单,None,提供2015年肇庆市应依法实施清洁生产审核的重点企业名单,依法实施 清洁生产 重点企业,资源环境,环境保护,业务,普通公开,每年,2016年12月01日,肇庆市环保局,http://www.zqepb.gov.cn/
肇庆市2014年应依法实施清洁生产审核的重点企业名单,None,提供2014年肇庆市应依法实施清洁生产审核的重点企业名单,依法实施 清洁生产 重点企业,资源环境,环境保护,业务,普通公开,每年,2016年12月01日,肇庆市环保局,http://www.zqepb.gov.cn/
肇庆市2013年应依法实施清洁生产审核的重点企业名单,None,提供2013年肇庆市应依法实施清洁生产的重点企业名单,依法实施 清洁生产 重点企业,资源环境,环境保护,业务,普通公开,年,2016年12月01日,肇庆市环保局,http://www.zqepb.gov.cn/
2016年肇庆市重点排污单位双随机检查情况,None,提供肇庆市2016年重点排污单位双随机检查情况,重点排污 检查,资源环境,环境保护,业务,普通公开,每季,2016年12月01日,肇庆市环保局,http://www.zqepb.gov.cn/
2016年肇庆市一般排污单位双随机检查情况,None,提供肇庆市一般排污单位双随机检查情况,一般排污 检查,资源环境,环境,业务,普通公开,每季,2016年12月01日,肇庆市环保局,http://www.zqepb.gov.cn/
2016年肇庆市地表水环境质量月报,None,提供 2016年肇庆市地表水环境质量月报,地表水 监测,资源环境,环境污染 监测,业务,普通公开,每月,2016年03月01日,肇庆市环保局,星湖东路76区
2016年肇庆市饮用水源水质月报,None,提供2016年肇庆市饮用水源水质月报,饮用水 水质,资源环境,环境污染 监测,业务,普通公开,每月,2016年03月01日,肇庆市环保局,星湖东路76区
肇庆空气质量日报,None,肇庆市城区空气质量,空气 质量,资源环境,环境污染 监测,业务,普通公开,每日,2015年11月12日,肇庆市环境保护局,http://www.zqepb.gov.cn/
