非公募基金会成立、变更、注销登记信息,51,46,市社会组织管理局,每周,2017-11-27, 数据公开 ,用于存放非公募基金会成立、变更、注销登记信息
民办非企业单位成立、变更、注销登记信息,49,66,市社会组织管理局,每周,2017-11-27, 数据公开 ,用于存放民办非企业单位成立、变更、注销登记信息
民办非企业单位基本信息,2728,640,市社会组织管理局,实时,2017-11-27, 民办非企业  数据公开 ,None
社会组织年检信息,52,10,市社会组织管理局,每年,2017-11-27, 数据公开 ,None
社会团体基本信息,2921,389,市社会组织管理局,实时,2017-11-27, 社会团体  数据公开 ,None
林业局行政审批信息,97,201,市林业局,每周,2017-11-27, 数据公开 ,None
主要人员信息,142,235,市工商行政管理局,每日,2017-11-27, 数据公开 ,None
企业年度报告信息_基本信息,114,6,市工商行政管理局,每年,2017-11-27, 数据公开 ,None
动产抵押信息,154,104,市工商行政管理局,每周,2017-11-27, 数据公开 ,None
动产抵押信息_被担保债权概况信息,126,224,市工商行政管理局,每日,2017-11-27, 数据公开 ,None
企业年度报告信息_股东及出资信息,102,13,市工商行政管理局,每年,2017-11-27, 数据公开 ,None
企业年度报告信息_修改信息,41,11,市工商行政管理局,每年,2017-11-27, 数据公开 ,None
工商行政许可公示信息,241,278,市工商行政管理局,每周,2017-11-27, 数据公开 ,None
工商登记信息,7166,4956,市工商行政管理局,实时,2017-11-27, 企业  数据公开 ,None
企业股东（投资者）信息,227,45,市工商行政管理局,实时,2017-11-27, 数据公开 ,企业股东信息（包括法人股东、自然人股东）
经营异常名录,164,475,市工商行政管理局,每日,2017-11-27, 数据公开 ,None
分支机构信息,83,3,市工商行政管理局,不提供,2017-11-27, 数据公开 ,None
股权出质信息_股权出质注销信息,35,0,市工商行政管理局,不提供,2017-11-27, 数据公开 ,None
股权出质信息,82,15,市工商行政管理局,不提供,2017-11-27, 数据公开 ,None
清算信息,65,2,市工商行政管理局,不提供,2017-11-27, 数据公开 ,None
其他信息/人员信息,68,6,市工商行政管理局,不提供,2017-11-27, 数据公开 ,None
渔业船舶及船用产品检验与发证,32,200,市海洋与渔业局,每周,2017-11-27, 数据公开 ,None
公共场所（除公园、体育场馆、公共交通工具外）卫生许可,1526,1755,市卫生和计划生育局,实时,2017-11-27, 数据公开  资质认定 ,公共场所卫生许可证
危险化学品（剧毒）使用单位安全平评价报告备案,38,10,市安全生产监督管理局,每日,2017-11-27, 数据公开 ,None
生产经营单位安全事故应急预案备案,76,140,市安全生产监督管理局,每日,2017-11-27, 数据公开 ,None
商品房预售许可信息表,1433,821,市住房和城乡建设局,每月,2017-11-27, 资质认定  数据公开 ,None
对外贸易经营者备案登记信息（新办理进出口经营权企业名单）,1130,486,市商务局,每半年,2017-11-27, 资质认定  数据公开 ,None
典当企业信息,53,10,市商务局,每日,2017-11-27, 数据公开 ,None
拍卖企业信息,884,21,市商务局,每周,2017-11-27, 数据公开  资质认定 ,None
地名命名、更名审核,307,6,市民政局,每季度,2017-11-27, 资质认定  数据公开 ,None
行政执法个人处罚信息,109,0,市城市综合管理局,每季度,2017-11-27, 数据公开 ,我局综合执法方面各类违法案件的行政处罚，行政强制职责，依法查处重大或跨镇（街）松山湖、生态园城市管理方面案件。
动产抵押信息_注销信息,39,1,市工商行政管理局,不提供,2017-11-27, 数据公开 ,None
排污许可证核发（双公示）（涉企）,48,128,市环境保护局,每月,2017-11-27, 数据公开 ,None
设立歌舞娱乐场所娱乐经营许可证信息,1447,1189,市文化广电新闻出版局,每月,2017-11-27, 资质认定  数据公开 ,None
涉企信息_行政许可变更信息,77,2,市工商行政管理局,不提供,2017-11-27, 数据公开 ,None
社会团体成立、变更、注销登记信息,45,57,市社会组织管理局,每周,2017-11-27, 数据公开 ,用于存放社会团体成立、变更、注销登记信息
