 湛江市生产总值分行业统计 ,None,提供1978年至2011年湛江市生产总值、按第一、第二、第三产业分组的数据,湛江市生产总值,None,None,每年,2014-11-03,湛江市统计局,湛江市赤坎区跃进路67号,统计,业务类,普通公开, 
 中小学信息 ,None,本数据产品为湛江市中小学位置信息，主要包括湛江市中小学的地址，位置等字段。,中学，小学,None,None,每年,2014-11-06,湛江市公安局,湛江市赤坎区人民大道北9号,公安,其他类,普通公开, 
 居民委员会 ,None,湛江市居民委员会位置信息,居民委员会名称，居民委员会地址,None,None,每年,2014-11-18,湛江市公安局,湛江市赤坎区人民大道北9号,房地产,机构职能,普通公开, 
 全市工商行政管理机关和工商所分布数据 ,None,提供湛江市工商行政管理局机关及全市工商所分局数据，包括工商所名称、地址等。,工商行政管理机关，工商所,None,None,每年,2014-11-19,湛江市工商行政管理局,湛江经济技术开发区乐怡路16号,工商,业务类,普通公开, 
 湛江市著名商标公告数据 ,None,提供湛江市著名商标公告数据，包括湛江市最新的评定的湛江市著名商标及重新认定为湛江市的著名商标。,著名商标、公告,None,None,每年,2014-11-19,湛江市工商行政管理局,湛江经济技术开发区乐怡路16号,工商,业务类,普通公开, 
 ATM信息 ,None,本产品提供ATM点位信息，数据项包括所属银行名称，详细地址等。,ATM，ATM位置,None,None,每年,2014-11-13,湛江市公安局,湛江市赤坎区人民大道北9号,公安,业务类,普通公开, 
 2014年湛江市劳动力培训机构名单 ,None,提供2014年湛江市劳动力培训机构名单,None,None,None,每年,2014-10-30,湛江人社局,湛江市赤坎湾南路10号,房地产,政策法规,普通公开, 
 图书馆 ,None,湛江市图书馆位置信息,图书馆名称，图书馆地址,None,None,每年,2014-11-05,湛江市公安局,湛江市赤坎区人民大道北9号,公安,业务类,普通公开, 
 保安从业单位、保安培训机构名录信息 ,None,湛江市保安从业单位、保安培训机构名录信息,单位名称，单位地址,None,None,每年,2014-11-03,湛江市公安局,湛江市赤坎区人民大道北9号,公安,业务类,普通公开, 
 幼儿园 ,None,本数据产品提供幼儿园地址信息，数据项包括单位名称、单位地址。,幼儿园，地址,None,None,每年,2014-11-04,湛江市公安局,湛江市赤坎区人民大道北9号,公安,业务类,普通公开, 
 湛江市房地产开发企业基本信息 ,None,提供房地产开发企业基本信息 包括房地产开发企业的组织名称、资质证书编号 资质等级以及资质证书发证日期,组织名称、资质证书编号、资质等级、资质证书发证日期,None,None,每年,2014-11-03,湛江市住房保障和房屋管理局,湛江市霞山区解放东路28号海帆大厦13楼,房地产,业务类,普通公开, 
 书店 ,None,本数据产品提供湛江市书店地址信息，具体包括单位名称、单位地址。,书店，地址,None,None,每年,2014-11-05,湛江市公安局,湛江市赤坎区人民大道北9号,公安,业务类,普通公开, 
 全市普通机动车驾驶员培训企业名录 ,None,湛江市普通机动车驾驶员培训企业名称和联系方式等信息,None,None,None,每年,2014-11-04,湛江市交通运输和港口管理局,广东省湛江市霞山区友谊路1号,交通运输,业务类,普通公开, 
 湛江市劳务派遣行政许可企业名单公告（二） ,None,None,None,None,None,每年,2014-10-30,湛江人社局,湛江市赤坎湾南路10号,工商,规划计划,普通公开, 
 影剧院 ,None,湛江市影剧院位置信息,影剧院名称，影剧院地址,None,None,每年,2014-11-05,湛江市公安局,湛江市赤坎区人民大道北9号,公安,业务类,普通公开, 
 客运轮渡信息 ,None,全市范围内客运轮渡线路的名称与营运时间等信息.主要字段为线路名称、渡口地址、营运时间,全市范围内客运轮渡线路的名称.营运时间,None,None,每年,2014-11-06,湛江市交通运输和港口管理局,广东省湛江市霞山区友谊路1号,交通运输,业务类,普通公开, 
 专科医院 ,None,提供市各专科医院的位置信息 包括医院名称 医院地址等信息。,医院名称，医院地址,None,None,每年,2014-11-03,市公安局,湛江市赤坎区人民大道北9号,公安,业务类,普通公开, 
 湛江市劳务派遣行政许可企业名单公告（四） ,None,提供湛江市劳务派遣行政许可企业名单公告,None,None,None,每年,2014-10-30,湛江人社局,湛江市赤坎湾南路10号,工商,规划计划,普通公开, 
 湛江市劳务派遣行政许可企业名单公告（五） ,None,提供湛江市劳务派遣行政许可企业名单公告,None,None,None,每年,2014-10-30,湛江人社局,湛江市赤坎湾南路10号,工商,规划计划,普通公开, 
 湛江市劳务派遣行政许可企业名单公告 ,None,提供湛江市劳务派遣行政许可企业名单,None,None,None,每年,2014-10-30,湛江人社局,湛江市赤坎湾南路10号,工商,规划计划,普通公开, 
  驾校 ,None,湛江市驾校位置信息,单位名称，单位地址,None,None,每年,2014-11-04,湛江市公安局,湛江市赤坎区人民大道北9号,交通运输,业务类,普通公开, 
 电信营业厅 ,None,本数据产品提供电信营业厅地址信息，具体包括单位名称、单位地址。,电信营业厅，地址,None,None,每年,2014-11-04,湛江市公安局,湛江市赤坎区人民大道北9号,公安,业务类,普通公开, 
 体育场馆 ,None,湛江市体育场馆位置信息,体育场馆名称，体育场馆地址,None,None,每年,2014-11-04,湛江市公安局,湛江市赤坎区人民大道北9号,房地产,机构职能,普通公开, 
 公园 ,None,湛江市公园位置信息,公园名称，公园地址,None,None,每年,2014-11-07,湛江市公安局,湛江市赤坎区人民大道北9号,公安,业务类,普通公开, 
 湛江市劳务派遣行政许可企业名单公告（三） ,None,提供湛江市劳务派遣行政许可企业名单公告,None,None,None,每年,2014-10-30,湛江人社局,湛江市赤坎湾南路10号,工商,规划计划,普通公开, 
 综合医院 ,None,湛江市综合医院位置信息,医院名称，医院地址,None,None,每年,2014-11-03,湛江市公安局,湛江市赤坎区人民大道北9号,公安,业务类,普通公开, 
 宾旅馆信息 ,None,本数据产品为湛江市宾旅馆分布信息，主要包括宾旅馆的名称以及地址等字段。,宾馆，旅馆，宾旅馆,None,None,每年,2014-11-05,湛江市公安局,湛江市赤坎区人民大道北9号,公安,业务类,普通公开, 
 网吧信息 ,None,本数据产品为湛江市网吧分布信息，主要包括网吧的名称以及地址等信息。,网吧，网吧位置,None,None,每年,2014-11-05,湛江市公安局,湛江市赤坎区人民大道北9号,公安,业务类,普通公开, 
 湛江市保安服务公司一览表 ,None,湛江市保安服务公司一览表,None,None,None,每年,2017-11-23,None,None,统计,其他类,普通公开, 
 湛江市旅馆业信息一览表 ,None,None,None,None,None,每年,2017-11-28,None,None,统计,其他类,普通公开, 
 车管所对外公开资料 ,None,车管所对外公开资料,None,None,None,每年,2017-11-13,湛江市公安局交警支队,None,公安,业务类,普通公开, 
 湛江市网吧信息一览表 ,None,None,None,None,None,每年,2017-11-28,None,None,统计,其他类,普通公开, 
 移动营业厅 ,None,本数据产品提供移动营业厅地址信息，具体数据项包括单位名称、单位地址。,移动营业厅，地址,None,None,每年,2014-11-05,湛江市公安局,湛江市赤坎区人民大道北9号,公安,业务类,普通公开, 
 湛江市驾培机构信息表 ,None,湛江市驾培机构信息表,None,None,None,每年,2017-11-23,None,None,统计,其他类,普通公开, 
