2825,263,交通建设工程监理企业资质等级证书,政府办事,交通建设工程，等级证书,道路交通,交通运输,业务类,普遍公开,每季度,2017-11-20,上海市交通委员会
2092,136,当年上海建筑业签订合同情况。,政府办事,当年.上海.建筑业签订合同情况,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
3276,231,当年上海建筑业主要财务指标。,政府办事,当年.上海.建筑业主要财务指标,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
2977,255,当年上海各区、县建筑业主要指标。,政府办事,当年.上海.各区、县建筑业主要指标,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
2662,198,主要年份六大重点发展工业行业固定资产投资额。,政府办事,主要年份.六大重点发展工业行业.固定资产投资额,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
2671,238,1978年以来.上海.建筑业主要指标。,城市安全,1978年以来.上海.建筑业主要指标,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
2355,229,当年上海土地使用权出让情况。,政府办事,当年.上海.土地使用权出让情况,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
2162,124,当年上海工业各行业固定资产投资主要指标。,政府办事,当年.上海.工业各行业固定资产投资主要指标,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
2981,258,2012～2015年上海市平均每天各种能源消费量,政府办事,2012～2015年，上海市，平均每天各种能源消费量,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
1845,58,公益基地建设情况的相关信息，公益基地数量,政府办事,公益基地建设,民生服务,民政,业务类,普遍公开,每年,2017-11-21,上海市民政局
872,86,当年上海建筑业承包工程完成情况。,政府办事,当年.上海.建筑业承包工程完成情况,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
2093,136,当年上海建筑业签订合同情况。,政府办事,当年.上海.建筑业签订合同情况,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
3277,231,当年上海建筑业主要财务指标。,政府办事,当年.上海.建筑业主要财务指标,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
2978,255,当年上海各区、县建筑业主要指标。,政府办事,当年.上海.各区、县建筑业主要指标,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
2663,198,主要年份六大重点发展工业行业固定资产投资额。,政府办事,主要年份.六大重点发展工业行业.固定资产投资额,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
2672,238,1978年以来.上海.建筑业主要指标。,城市安全,1978年以来.上海.建筑业主要指标,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
2356,229,当年上海土地使用权出让情况。,政府办事,当年.上海.土地使用权出让情况,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
2163,124,当年上海工业各行业固定资产投资主要指标。,政府办事,当年.上海.工业各行业固定资产投资主要指标,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
2982,258,2012～2015年上海市平均每天各种能源消费量,政府办事,2012～2015年，上海市，平均每天各种能源消费量,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
1846,58,公益基地建设情况的相关信息，公益基地数量,政府办事,公益基地建设,民生服务,民政,业务类,普遍公开,每年,2017-11-21,上海市民政局
873,86,当年上海建筑业承包工程完成情况。,政府办事,当年.上海.建筑业承包工程完成情况,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
2094,136,当年上海建筑业签订合同情况。,政府办事,当年.上海.建筑业签订合同情况,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
3278,231,当年上海建筑业主要财务指标。,政府办事,当年.上海.建筑业主要财务指标,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
2979,255,当年上海各区、县建筑业主要指标。,政府办事,当年.上海.各区、县建筑业主要指标,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
2664,198,主要年份六大重点发展工业行业固定资产投资额。,政府办事,主要年份.六大重点发展工业行业.固定资产投资额,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
2673,238,1978年以来.上海.建筑业主要指标。,城市安全,1978年以来.上海.建筑业主要指标,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
2357,229,当年上海土地使用权出让情况。,政府办事,当年.上海.土地使用权出让情况,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
2164,124,当年上海工业各行业固定资产投资主要指标。,政府办事,当年.上海.工业各行业固定资产投资主要指标,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
2983,258,2012～2015年上海市平均每天各种能源消费量,政府办事,2012～2015年，上海市，平均每天各种能源消费量,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
1847,58,公益基地建设情况的相关信息，公益基地数量,政府办事,公益基地建设,民生服务,民政,业务类,普遍公开,每年,2017-11-21,上海市民政局
874,86,当年上海建筑业承包工程完成情况。,政府办事,当年.上海.建筑业承包工程完成情况,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
2095,136,当年上海建筑业签订合同情况。,政府办事,当年.上海.建筑业签订合同情况,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
3279,231,当年上海建筑业主要财务指标。,政府办事,当年.上海.建筑业主要财务指标,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
2980,255,当年上海各区、县建筑业主要指标。,政府办事,当年.上海.各区、县建筑业主要指标,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
2665,198,主要年份六大重点发展工业行业固定资产投资额。,政府办事,主要年份.六大重点发展工业行业.固定资产投资额,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
2674,238,1978年以来.上海.建筑业主要指标。,城市安全,1978年以来.上海.建筑业主要指标,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
2358,229,当年上海土地使用权出让情况。,政府办事,当年.上海.土地使用权出让情况,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
2165,124,当年上海工业各行业固定资产投资主要指标。,政府办事,当年.上海.工业各行业固定资产投资主要指标,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
2984,258,2012～2015年上海市平均每天各种能源消费量,政府办事,2012～2015年，上海市，平均每天各种能源消费量,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
1848,58,公益基地建设情况的相关信息，公益基地数量,政府办事,公益基地建设,民生服务,民政,业务类,普遍公开,每年,2017-11-21,上海市民政局
875,86,当年上海建筑业承包工程完成情况。,政府办事,当年.上海.建筑业承包工程完成情况,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
2096,136,当年上海建筑业签订合同情况。,政府办事,当年.上海.建筑业签订合同情况,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
3280,231,当年上海建筑业主要财务指标。,政府办事,当年.上海.建筑业主要财务指标,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
2981,255,当年上海各区、县建筑业主要指标。,政府办事,当年.上海.各区、县建筑业主要指标,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
2666,198,主要年份六大重点发展工业行业固定资产投资额。,政府办事,主要年份.六大重点发展工业行业.固定资产投资额,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
2675,238,1978年以来.上海.建筑业主要指标。,城市安全,1978年以来.上海.建筑业主要指标,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
2359,229,当年上海土地使用权出让情况。,政府办事,当年.上海.土地使用权出让情况,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
2166,124,当年上海工业各行业固定资产投资主要指标。,政府办事,当年.上海.工业各行业固定资产投资主要指标,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
2985,258,2012～2015年上海市平均每天各种能源消费量,政府办事,2012～2015年，上海市，平均每天各种能源消费量,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
1849,58,公益基地建设情况的相关信息，公益基地数量,政府办事,公益基地建设,民生服务,民政,业务类,普遍公开,每年,2017-11-21,上海市民政局
876,86,当年上海建筑业承包工程完成情况。,政府办事,当年.上海.建筑业承包工程完成情况,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
