企业良好行为信息,2718,1926,市住房和城乡建设局,每月,2018-02-02, 数据公开 ,企业良好行为信息
企业年度报告信息_股东及出资信息,218,20,市工商行政管理局,每年,2018-02-02, 数据公开 ,None
地名命名、更名审核,513,21,市民政局,每季度,2018-02-02, 资质认定  数据公开 ,None
民办非企业单位基本信息,3167,733,市社会组织管理局,实时,2018-02-02, 民办非企业  数据公开 ,None
社会组织年检信息,184,10,市社会组织管理局,每年,2018-02-02, 数据公开 ,None
非公募基金会成立、变更、注销登记信息,196,48,市社会组织管理局,每周,2018-02-02, 数据公开 ,用于存放非公募基金会成立、变更、注销登记信息
社会团体成立、变更、注销登记信息,177,58,市社会组织管理局,每周,2018-02-02, 数据公开 ,用于存放社会团体成立、变更、注销登记信息
社会团体基本信息,3312,459,市社会组织管理局,实时,2018-02-02, 社会团体  数据公开 ,None
民办非企业单位成立、变更、注销登记信息,169,67,市社会组织管理局,每周,2018-02-02, 数据公开 ,用于存放民办非企业单位成立、变更、注销登记信息
在公路增设或改造平面交叉道口审批,94,46,市公路管理局,每周,2018-02-02, 数据公开 ,None
建设项目环境影响评价文件审批（双公示）,266,378,市环境保护局,每周,2018-02-02, 数据公开 ,None
企业不良行为信息,2879,1894,市住房和城乡建设局,每月,2018-02-02, 信用警示  数据公开 ,企业不良行为信息
建设项目选址意见书信息,173,222,市城乡规划局,每日,2018-02-02, 数据公开 ,建设项目选址意见书是城乡规划主管部门依法审核建设项目称选址的法定凭据。
外国企业信息,83,18,市工商行政管理局,每月,2018-02-02, 数据公开 ,None
动产抵押信息,304,132,市工商行政管理局,每周,2018-02-02, 数据公开 ,None
工商行政许可公示信息,401,357,市工商行政管理局,每周,2018-02-02, 数据公开 ,None
企业年度报告信息_基本信息,211,19,市工商行政管理局,每年,2018-02-02, 数据公开 ,None
企业年度报告信息_修改信息,79,14,市工商行政管理局,每年,2018-02-01, 数据公开 ,None
注册中标间隔时长,120,60,市公共资源交易中心,每日,2018-02-01, 数据公开 ,None
中标项目信息,101,10,市公共资源交易中心,每日,2018-02-01, 数据公开 ,None
企业年度报告信息_股权变更信息,72,12,市工商行政管理局,每年,2018-02-01, 数据公开 ,None
主要人员信息,269,378,市工商行政管理局,每日,2018-02-01, 数据公开 ,None
企业股东（投资者）信息,398,91,市工商行政管理局,实时,2018-02-01, 数据公开 ,企业股东信息（包括法人股东、自然人股东）
经营异常名录,342,1066,市工商行政管理局,每日,2018-02-01, 信用警示  数据公开 ,None
动产抵押信息_被担保债权概况信息,254,311,市工商行政管理局,每日,2018-02-01, 数据公开 ,None
企业年度报告信息_对外投资信息,91,14,市工商行政管理局,每年,2018-02-01, 数据公开 ,None
分支机构信息,179,6,市工商行政管理局,不提供,2018-02-01, 数据公开 ,None
动产抵押信息_抵押物概况信息,58,9,市工商行政管理局,不提供,2018-02-01, 数据公开 ,None
股权出质信息,163,31,市工商行政管理局,不提供,2018-02-01, 数据公开 ,None
其他信息/人员信息,163,15,市工商行政管理局,不提供,2018-02-01, 数据公开 ,None
涉企信息_行政许可信息,231,7,市工商行政管理局,不提供,2018-02-01, 数据公开 ,None
林业局行政审批信息,213,272,市林业局,每周,2018-02-01, 数据公开 ,None
公共场所（除公园、体育场馆、公共交通工具外）卫生许可,1963,1874,市卫生和计划生育局,实时,2018-02-01, 数据公开  资质认定 ,公共场所卫生许可证
东莞市卫生和计划生育局行政处罚信息,1816,605,市卫生和计划生育局,每月,2018-02-01, 数据公开 ,东莞市卫生局行政处罚信息
固定资产投资项目节能审查,170,167,市发展和改革局,每周,2018-02-01, 数据公开 ,None
动产抵押信息_注销信息,82,8,市工商行政管理局,不提供,2018-02-01, 数据公开 ,None
企业年度报告信息_网站或网店信息,91,12,市工商行政管理局,每年,2018-02-01, 数据公开 ,None
建设工程规划许可证信息,4207,330,市城乡规划局,每日,2018-02-01, 资质认定  数据公开 ,建设工程规划许可证是经城乡规划主管部门依法审核，建设工程符合城乡规划要求的法律凭证。
企业诚信评价信息,9,0,市交通运输局,每年,2018-02-01, 数据公开 ,None
东莞市燃气工程竣工验收备案信息,1729,2278,市城市综合管理局,每月,2018-02-01, 资质认定  数据公开 ,此项数据是指在东莞市范围内的燃气工程建设完毕后，经主管部门审批通过后，颁发竣工备案证的信息。
对外贸易经营者备案登记信息（新办理进出口经营权企业名单）,1371,494,市商务局,每半年,2018-02-01, 资质认定  数据公开 ,None
典当企业信息,106,11,市商务局,每日,2018-02-01, 数据公开 ,None
动产抵押信息_变更信息,57,11,市工商行政管理局,不提供,2018-02-01, 数据公开 ,None
道路运输从业人员行政许可,217,263,市交通运输局,每周,2018-02-01, 数据公开 ,None
设置大型户外广告及在城市建筑物、设施上悬挂、张贴宣传品审批信息,1834,1767,市城市综合管理局,每月,2018-02-01, 资质认定  数据公开 ,None
危险化学品经营许可证信息,715,206,市安全生产监督管理局,每周,2018-02-01, 资质认定  数据公开 ,None
涉企信息_行政处罚信息,137,3,市工商行政管理局,不提供,2018-02-01, 数据公开 ,None
宗教活动场所登记,335,2,市民族宗教事务局,不提供,2018-02-01, 数据公开  资质认定 ,None
筹备设立宗教活动处所（寺观教堂）审批,79,0,市民族宗教事务局,不提供,2018-02-01, 数据公开 ,None
宗教活动场所变更登记内容,190,0,市民族宗教事务局,不提供,2018-02-01, 数据公开 ,None
经营异常名录企业信息,119,0,市卫生和计划生育局,每年,2018-02-01, 信用警示  数据公开 ,None
价格行政处罚信息,175,87,市发展和改革局,每周,2018-02-01, 数据公开 ,None
清算信息,123,9,市工商行政管理局,不提供,2018-02-01, 数据公开 ,None
自由类技术进出口合同登记许可证审批,359,1,市商务局,每周,2018-02-01, 资质认定  数据公开 ,None
地税税务登记信息,209,246,市地方税务局,每日,2018-02-01, 数据公开 ,None
防雷装置定期检测,203,248,市气象局,每月,2018-02-01, 数据公开 ,None
