民办普通中小学校基本信息,教育科技,年度,民办中小学,东莞市,2018-01-30,2018-01-30,4,49,完全开放
民办幼儿园基本信息,教育科技,年度,民办幼儿园,东莞市,2018-01-30,2018-01-30,13,39,完全开放
动物诊疗许可证核发,卫生健康,月度,动物,东莞市,2018-01-30,2018-01-30,4,24,完全开放
水务局机构荣誉信息,经济建设,不定时更新,荣誉,清远全市,2018-01-24,2018-01-24,25,118,完全开放
登记注册（准予营业）医疗机构基本信息,卫生健康,不定时更新,登记注册、准予营业,惠州全市,2018-01-18,2018-01-18,42,194,完全开放
惠州市助产服务机构名单,卫生健康,不定时更新,助产服务,惠州全市,2018-01-18,2018-01-18,23,143,完全开放
惠州市公立医院、登记注册非政府办医院名单,卫生健康,不定时更新,公立医院、登记注册非政府办医院,惠州全市,2018-01-18,2018-01-18,38,152,完全开放
省直职业技能鉴定所（站）名单,机构团体,不定时更新,职业技能、鉴定,全省,2018-01-17,2018-01-17,90,175,完全开放
惠州市住房公积金归集业务网点,民生服务,不定时更新,归集、支取、贷款,惠州市全市,2018-01-17,2018-01-17,23,124,完全开放
惠州市养老机构,民生服务,不定时更新,养老,惠州市全市,2018-01-17,2018-01-17,31,136,完全开放
河源市司法鉴定人信息,民生服务,年度,司法鉴定.鉴定人,河源全市,2018-01-16,2018-01-16,26,151,完全开放
河源市司法鉴定机构目录,机构团体,年度,司法鉴定.机构,河源全市,2018-01-16,2018-01-16,20,124,完全开放
河源市民办非企业单位登记信息,机构团体,年度,民办非企业.登记信息,河源全市,2018-01-16,2018-01-16,22,102,完全开放
个体经营异常标记信息,机构团体,月度,个体经营、异常,全省,2018-01-16,2018-01-16,0,41,完全开放
农专分支异常名录详细信息,机构团体,月度,农专分支异常,全省,2018-01-16,2018-01-16,0,32,完全开放
农专异常名录详细信息,机构团体,月度,农专异常,全省,2018-01-16,2018-01-16,0,29,完全开放
企业异常名录详细信息,机构团体,月度,企业异常,全省,2018-01-16,2018-01-16,0,32,完全开放
个体工商户基本信息（两证整合链路）,机构团体,月度,个体工商户、两证整合,全省,2018-01-16,2018-01-16,0,42,完全开放
企业执照照面信息（多证合一链路）,机构团体,月度,企业执照、多证合一,全省,2018-01-16,2018-01-16,0,48,完全开放
中山市实施技术标准战略专项资金资助项目情况(标准类项目）,社会发展,年度,技术标准、专项资金资助,中山全市,2018-01-12,2018-01-12,16,55,完全开放
河源市企业守合同重信用信息,经济建设,年度,守合同.信用信息,河源全市,2018-01-12,2018-01-12,29,143,完全开放
河源市年度批诚信“红黑榜”名单,经济建设,年度,诚信.红黑榜,河源全市,2018-01-12,2018-01-15,35,128,完全开放
河源市企业地税基本登记信息,经济建设,年度,企业地税基本登记信息,河源全市,2018-01-12,2018-01-12,31,161,完全开放
矿产资源开采许可证发放情况信息,资源环境,年度,矿产资源.许可证,河源全市,2018-01-12,2018-01-12,27,171,完全开放
河源市政府性基金目录清单,民生服务,不定时更新,政府性基金.目录清单,河源全市,2018-01-12,2018-01-12,22,129,完全开放
河源市市级企业技术中心拟认定企业名单,经济建设,不定时更新,企业，技术中心，企业名单,河源全市,2018-01-12,2018-01-12,26,130,完全开放
广东省“互联网+”试点项目,经济建设,年度,互联网+.试点项目,全省，河源全市,2018-01-12,2018-01-12,0,171,完全开放
河源市房地产机构信息,机构团体,不定时更新,房地产.机构,河源全市,2018-01-12,2018-01-12,23,110,完全开放
河源市工商登记企业基本信息,经济建设,不定时更新,工商登记.企业基本信息,河源全市,2018-01-12,2018-01-12,67,115,完全开放
