守合同重信用企业资料,区市场监督管理局（工商）,xls.txt.csv.xml.json,82次,守合同重信用企业资料,企业服务>优质企业,2017-04-21,2017-04-21
国税欠税信息,区国家税务局,xls.txt.csv.xml.json,51次,国税欠税信息,企业服务>生产经营服务,2017-04-20,2017-04-20
律师基本信息采集表,区司法局,xls.txt.csv.xml.json,30次,律师基本信息采集表,企业服务>中介服务,2017-04-14,2017-04-20
律师事务所基本信息采集表,区司法局,xls.txt.csv.xml.json,29次,律师事务所基本信息采集表,企业服务>中介服务,2017-04-14,2017-04-20
专业技术人员信息,区人力资源和社会保障局（含区社会保险基金管理局）,xls.txt.csv.xml.json,40次,专业技术人员信息,企业服务>人才服务,2017-04-14,2017-04-20
全国重点文物保护单位,区文化体育局,xls.txt.csv.xml.json,156次,全国重点文物保护单位,旅游住宿>景点,2014-08-01,2017-04-19
市级文物保护单位,区文化体育局,xls.txt.csv.xml.json,161次,市级文物保护单位,旅游住宿>景点,2014-08-01,2017-04-19
南海区动物诊疗机构登记表,区农林渔业局,xls.txt.csv.xml.json,135次,南海区动物诊疗机构登记表,医疗健康>动物医疗,2014-07-31,2017-04-19
燃气经营许可证,区国土城建和水务局（住建）,xls.txt.csv.xml.json,26次,燃气经营许可证,生活服务>煤气水电,2017-04-19,2017-04-19
南海区内危险废物经营单位的许可证信息,区环境保护局,xls.txt.csv.xml.json,54次,南海区内危险废物经营单位的许可证信息,环境与资源保护>环境污染与防治,2017-04-19,2017-04-19
佛山市南海区环境保护局企业环境信用评价信息,区环境保护局,xls.txt.csv.xml.json,62次,佛山市南海区环境保护局企业环境信用评价信息,环境与资源保护>环境质量,2017-04-19,2017-04-19
水源水质监测点,区环境保护局,xls.txt.csv.xml.json,179次,水源水质监测点,环境与资源保护>环境质量,2014-07-09,2017-04-19
实施重点企业清洁生产信息,区环境保护局,xls.txt.csv.xml.json,128次,实施重点企业清洁生产信息,环境与资源保护>环境污染与防治,2014-07-29,2017-04-19
环境质量报告书(公众版),区环境保护局,xls.txt.csv.xml.json,54次,环境质量报告书(公众版),环境与资源保护>环境质量,2017-04-19,2017-04-19
企业库附件表,佛山市公共资源交易中心南海分中心,txt.csv.xml.json.xlsx,65次,企业库附件表,企业服务>其他服务,2017-04-18,2017-04-19
国道,区交通运输局（公路）,xls.txt.csv.xml.json,162次,国道,交通服务>道路,2014-07-25,2017-04-18
省道,区交通运输局（公路）,xls.txt.csv.xml.json,98次,省道,交通服务>道路,2014-07-25,2017-04-18
承诺诚信经营企业信息,南海区消费者协会,xls.txt.csv.xml.json,35次,承诺诚信经营企业信息,消费购物>消费保障,2017-04-14,2017-04-14
工作专员名单,南海区消费者协会,xls.txt.csv.xml.json,16次,工作专员名单,消费购物>消费保障,2017-04-14,2017-04-14
专业技术人员注册信息,佛山市公共资源交易中心南海分中心,xls.txt.csv.xml.json,36次,专业技术人员注册信息,企业服务>人才服务,2017-04-05,2017-04-14
专业技术人员安全考核信息,佛山市公共资源交易中心南海分中心,xls.txt.csv.xml.json,23次,专业技术人员安全考核信息,企业服务>人才服务,2017-04-05,2017-04-14
企业暂停记录信息,佛山市公共资源交易中心南海分中心,xls.txt.csv.xml.json,20次,企业暂停记录信息,企业服务>其他服务,2017-04-05,2017-04-14
企业领导人员信息,佛山市公共资源交易中心南海分中心,xls.txt.csv.xml.json,39次,企业领导人员信息,企业服务>其他服务,2017-04-05,2017-04-14
企业基本信息,佛山市公共资源交易中心南海分中心,xls.txt.csv.xml.json,53次,企业基本信息,企业服务>其他服务,2017-03-10,2017-04-14
公共资源交易中心,佛山市公共资源交易中心南海分中心,xls.txt.csv.xml.json,90次,公共资源交易中心,政府机构与社会团体>政府机构及相关单位,2014-08-05,2017-04-14
企业工法奖项信息,佛山市公共资源交易中心南海分中心,xls.txt.csv.xml.json,19次,企业工法奖项信息,企业服务>优质企业,2017-03-09,2017-04-14
闯红灯设备路口点位表,市公安局南海分局,xls.txt.csv.xml.json,148次,闯红灯设备路口点位表,交通服务>执法监管,2014-08-07,2017-04-14
机动车交通违法受理点,市公安局南海分局,xls.txt.csv.xml.json,204次,机动车交通违法受理点,交通服务>执法监管,2014-07-01,2017-04-14
机动车检测站,市公安局南海分局,xls.txt.csv.xml.json,70次,机动车检测站,交通服务>执法监管,2014-08-07,2017-04-14
印章承刻企业,市公安局南海分局,xls.txt.csv.xml.json,140次,印章承刻企业,企业服务>其他服务,2014-08-07,2017-04-14
派出所,市公安局南海分局,xls.txt.csv.xml.json,147次,派出所,政府机构与社会团体>政府机构及相关单位,2014-08-07,2017-04-14
交警大队,市公安局南海分局,xls.txt.csv.xml.json,143次,交警大队,交通服务>执法监管,2014-07-02,2017-04-14
交通事故自行协商处理便民服务点,市公安局南海分局,xls.txt.csv.xml.json,124次,交通事故自行协商处理便民服务点,交通服务>执法监管,2014-07-02,2017-04-14
车管所,市公安局南海分局,xls.txt.csv.xml.json,225次,车管所,交通服务>执法监管,2014-07-02,2017-04-14
治安卡口路口点位表,市公安局南海分局,xls.txt.csv.xml.json,237次,治安卡口路口点位表,交通服务>执法监管,2014-08-07,2017-04-14
出入境受理点,市公安局南海分局,xls.txt.csv.xml.json,148次,出入境受理点,旅游住宿>旅游服务机构,2014-08-07,2017-04-14
